sample_id,DATASET_SPLIT,QUALITY_CLASS,DEFECT_TYPE,CAPTURE_INSTRUCTION,EXPECTED_EFFECT,HMAX,HC,BR,BS,LOOP_HZ,X_GAIN,Y_GAIN,X_OFFSET,Y_OFFSET,XY_COUPLING,ASYMMETRY,AMPLITUDE
IMG_0011,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,181.312,69.673,0.3283,0.7628,167.632,0.4625,0.6181,0.0424,0.0215,-0.0257,0.0101,280.0
IMG_0012,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,314.775,32.423,1.2637,1.471,166.511,0.9404,1.048,-0.0038,-0.0401,0.0155,0.0182,1582.0
IMG_0013,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,325.003,53.135,0.5218,1.0021,165.477,1.0113,0.9829,-0.0085,0.0549,0.025,0.0131,1384.0
IMG_0014,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,159.6,19.274,0.9904,1.6651,153.952,0.6686,0.6036,-0.0103,-0.0118,-0.0007,0.0092,390.0
IMG_0015,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,395.291,61.795,0.5714,0.964,221.286,1.0567,1.0904,-0.0089,0.0516,0.0198,0.0151,1444.0
IMG_0016,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,290.301,41.992,1.2199,1.7168,214.283,1.0143,1.035,0.0217,-0.0022,0.0053,0.0021,1588.0
IMG_0017,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,407.875,52.788,0.4298,0.7454,164.91,1.028,0.9924,-0.0517,0.0009,0.0078,0.0186,1388.0
IMG_0018,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,401.297,63.976,0.5603,1.1854,194.105,1.0437,1.0802,-0.054,0.0113,0.2277,0.1851,1410.0
IMG_0019,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,399.811,70.996,0.5907,0.7851,231.764,1.0667,1.0149,-0.0376,0.0248,-0.4389,-0.1458,1387.0
IMG_0020,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,235.721,23.595,0.2921,1.0743,213.421,1.092,0.9911,-0.0252,-0.0365,-0.0291,-0.0248,1440.0
IMG_0021,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,127.157,28.822,0.3205,1.2174,152.333,1.0701,0.952,0.0066,0.0557,-0.0127,-0.0008,1615.0
IMG_0022,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,84.534,21.72,0.2898,1.5219,186.966,1.8266,1.4015,0.035,-0.0178,-0.0363,-0.025,1877.0
IMG_0023,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,328.75,33.222,0.4209,0.7396,216.725,0.3962,0.4634,0.0561,0.0425,-0.0252,-0.0136,619.0
IMG_0024,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,65.241,15.48,0.6058,0.9743,191.878,0.9518,1.0042,0.0089,-0.0184,0.0184,0.0027,1490.0
IMG_0025,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,269.93,47.098,0.617,1.2532,158.431,1.0071,1.0656,-0.0364,-0.0421,0.4168,-0.1214,1493.0
IMG_0026,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,202.614,26.493,1.3001,1.7036,176.65,1.4147,1.5322,0.0392,0.053,0.0315,0.0136,1721.0
IMG_0027,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,231.937,44.297,1.3465,1.581,232.307,1.0936,0.9931,0.0426,0.0542,0.0358,-0.0223,1624.0
IMG_0028,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,409.269,68.816,0.5782,0.7477,234.109,0.9061,0.9226,-0.0056,0.0172,-0.0193,-0.0169,1371.0
IMG_0029,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,48.35,15.709,0.7426,1.1322,225.34,1.098,1.0863,-0.0567,0.0269,-0.0196,-0.0126,1636.0
IMG_0030,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,134.819,21.816,1.0227,1.3517,168.956,1.0742,1.0378,-0.0194,0.0119,0.0167,-0.024,1628.0
IMG_0031,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,245.126,58.898,0.3422,0.9365,231.936,0.9285,1.0181,-0.0084,-0.0339,0.0146,0.021,1381.0
IMG_0032,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,289.722,74.005,1.1035,1.2707,236.437,0.4981,0.721,-0.0151,-0.0216,-0.0028,0.0226,499.0
IMG_0033,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,270.969,34.308,0.3857,1.1147,189.907,0.9829,1.0055,0.0583,0.0537,0.0184,0.0222,1584.0
IMG_0034,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,313.643,58.8,0.5308,1.1073,206.893,1.4739,1.4169,-0.0075,-0.017,0.0134,-0.0222,1727.0
IMG_0035,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,330.748,65.801,0.4016,0.7513,194.173,0.7072,0.4632,0.0367,-0.0337,0.0183,0.0183,497.0
IMG_0036,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,160.169,18.392,0.7406,1.638,235.489,1.87,1.7052,-0.0526,0.0401,-0.0083,0.0003,1735.0
IMG_0037,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,122.723,44.947,0.7088,1.4261,235.726,0.9974,1.0939,0.0231,0.0254,-0.0356,-0.0048,1523.0
IMG_0038,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,157.16,37.165,0.998,1.7208,178.924,0.9418,1.0719,-0.0295,0.0545,0.0379,0.0131,1493.0
IMG_0039,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,297.616,33.332,0.9072,1.6608,239.933,0.5617,0.4757,-0.0524,0.0472,0.013,-0.0198,493.0
IMG_0040,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,170.267,61.556,0.48,0.8589,220.781,0.9741,0.9891,0.029,0.0212,0.0182,-0.0014,1405.0
IMG_0041,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,279.692,55.732,1.0027,1.6755,166.563,0.9258,1.0408,-0.0551,0.0512,-0.0389,0.0223,1620.0
IMG_0042,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,259.039,37.337,0.7463,1.49,190.851,0.9061,0.9708,0.0408,0.0062,-0.0343,-0.0152,1484.0
IMG_0043,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,224.101,39.278,0.2372,1.1506,193.451,0.512,0.4004,-0.0381,-0.0556,-0.0157,-0.0028,657.0
IMG_0044,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,71.76,11.585,0.5043,0.7533,207.563,1.062,0.9212,0.035,0.0059,0.0277,0.0158,1649.0
IMG_0045,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,407.136,66.648,0.4491,1.7021,193.904,0.9882,0.9546,-0.0059,-0.0557,0.0024,-0.0158,1588.0
IMG_0046,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,375.36,73.684,0.939,1.2474,202.668,1.4497,1.7268,0.0247,0.0074,-0.0381,0.0018,1818.0
IMG_0047,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,49.774,8.097,0.8641,1.3207,239.004,0.9804,0.9998,-0.0106,0.0188,-0.0285,0.0173,1523.0
IMG_0048,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,107.06,24.587,0.4449,0.9807,188.578,1.0237,1.0691,-0.0276,-0.0036,-0.011,0.0,1388.0
IMG_0049,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,412.92,58.055,0.6614,1.1679,181.294,1.0954,0.9941,0.0032,-0.0305,0.0094,-0.0172,1602.0
IMG_0050,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,206.134,50.944,0.5191,1.5099,197.745,0.5955,0.6921,0.0215,-0.0349,0.0125,-0.0128,340.0
IMG_0051,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,X 方向偏心并发生屏幕裁切,290.057,63.797,0.5731,0.8589,164.247,1.3625,1.1478,-0.6073,0.0152,-0.0024,0.0111,1635.0
IMG_0052,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,201.775,31.902,0.4574,1.6411,213.465,0.445,0.5399,-0.0148,-0.0221,-0.0229,0.0096,385.0
IMG_0053,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,225.538,58.503,0.7451,1.4064,156.693,0.9255,1.0905,0.019,0.0335,0.0239,-0.0179,1379.0
IMG_0054,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,152.387,41.571,0.8766,1.785,219.696,0.9828,0.9053,-0.0598,0.045,0.0071,-0.0249,1510.0
IMG_0055,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,102.21,12.156,0.3289,0.8663,218.567,1.0117,0.9904,-0.0579,0.0276,-0.0124,0.0008,1556.0
IMG_0056,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,196.756,72.89,0.5917,1.4148,231.423,1.0659,1.0392,0.0425,-0.017,0.3077,0.1597,1645.0
IMG_0057,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,293.791,59.291,0.5307,1.2844,161.229,1.0167,1.0382,-0.0184,-0.0458,-0.0276,0.0249,1434.0
IMG_0058,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,48.269,10.122,0.5674,1.1074,161.634,1.4664,1.8813,-0.0382,0.0288,0.035,-0.0013,1788.0
IMG_0059,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,196.097,67.093,0.5739,0.8708,189.677,0.9282,0.9141,-0.0218,-0.0486,-0.2221,-0.2062,1614.0
IMG_0060,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,366.904,63.659,0.6961,1.4433,173.653,1.0507,0.9257,-0.0372,0.0566,-0.2771,0.2259,1563.0
IMG_0061,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,X 方向偏心并发生屏幕裁切,354.229,65.022,0.4345,0.9216,225.437,1.3077,1.2575,0.5726,0.0359,0.0134,-0.005,1408.0
IMG_0062,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,79.924,9.429,0.8531,1.7708,218.942,0.9863,0.9033,0.0015,0.0075,-0.0343,-0.0166,1437.0
IMG_0063,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,370.857,72.564,1.1198,1.6651,166.394,0.9313,1.0334,0.0013,0.0208,-0.0304,-0.0058,1608.0
IMG_0064,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,384.742,60.461,0.6105,0.7486,179.369,1.0487,1.0092,0.0298,-0.0303,-0.3079,-0.2075,1388.0
IMG_0065,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,228.346,52.547,0.4617,1.156,205.916,0.9486,1.0012,0.0134,0.0251,-0.0034,0.021,1594.0
IMG_0066,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,XY 方向偏心并发生屏幕裁切,348.059,37.975,0.3375,1.5126,195.974,1.0867,1.2059,-0.4857,0.7198,-0.0211,-0.0144,1370.0
IMG_0067,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,294.347,30.623,0.576,0.9458,182.794,0.6194,0.3759,-0.002,0.0351,-0.032,-0.0145,634.0
IMG_0068,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,280.935,35.516,0.6071,1.5952,214.787,1.0831,0.9368,-0.0556,0.0257,0.4575,-0.1879,1387.0
IMG_0069,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,113.605,33.934,0.5965,0.8263,223.605,0.9237,1.0843,-0.0229,-0.0584,0.0008,-0.0134,1481.0
IMG_0070,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,412.322,58.633,0.8739,1.0335,236.592,1.481,1.3752,-0.0503,-0.052,0.0243,-0.0157,1812.0
IMG_0071,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,324.594,55.114,0.6271,0.7569,214.877,0.9562,1.0,-0.0389,0.0539,0.031,-0.0045,1613.0
IMG_0072,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,284.957,40.087,0.8355,1.6589,196.788,1.0028,1.094,0.0015,-0.0115,-0.0015,0.0016,1639.0
IMG_0073,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,141.375,52.567,0.3201,1.3955,218.759,0.9157,1.0421,-0.054,0.0448,-0.0185,0.0063,1410.0
IMG_0074,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,250.846,48.478,0.8989,1.731,206.938,1.0651,1.0647,0.0263,-0.0221,-0.4125,0.2714,1353.0
IMG_0075,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,276.784,34.57,1.0313,1.4807,162.984,0.9942,0.9024,0.0146,0.0177,0.0045,0.0191,1372.0
IMG_0076,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,247.501,69.881,0.3328,0.9562,205.291,1.4438,1.4421,-0.0516,-0.0099,-0.0227,0.0236,1780.0
IMG_0077,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,200.39,41.257,0.6289,0.7461,170.703,0.7146,0.578,-0.0476,0.0251,0.0206,0.0005,664.0
IMG_0078,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,346.838,43.724,0.4289,0.7149,193.306,1.6916,1.8598,0.0358,0.0337,0.0028,-0.0154,1752.0
IMG_0079,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,304.136,69.454,0.313,0.8597,224.837,0.9818,0.9643,0.0202,0.0049,0.0302,-0.0119,1456.0
IMG_0080,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,345.694,69.573,0.2545,0.9479,151.779,1.8255,1.3522,0.0159,-0.0426,0.0145,0.0178,1791.0
IMG_0081,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,79.186,23.244,0.4208,1.3972,209.016,0.9481,1.0705,-0.0591,-0.0329,-0.213,-0.2347,1634.0
IMG_0082,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,116.851,14.793,0.4417,0.9769,177.544,0.9515,0.9056,-0.0554,-0.0508,-0.024,-0.0188,1402.0
IMG_0083,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,195.674,56.736,1.2226,1.6815,171.384,0.9124,1.0342,-0.0096,-0.045,0.0219,0.0195,1452.0
IMG_0084,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,314.631,35.55,0.378,1.0489,190.345,1.0377,0.9545,-0.0062,-0.0178,-0.0112,0.0182,1468.0
IMG_0085,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,366.674,39.788,0.4435,0.7136,178.226,1.0592,0.9635,-0.0491,0.0319,-0.0164,0.0217,1498.0
IMG_0086,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,205.076,24.406,0.3921,0.9613,201.607,0.9026,1.0057,-0.0579,-0.0243,0.0023,0.0182,1417.0
IMG_0087,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,414.351,69.225,0.6457,1.7198,215.787,0.947,0.9332,0.0128,-0.0052,0.0174,0.0234,1505.0
IMG_0088,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,96.241,15.309,1.1411,1.6126,190.539,0.9625,1.0007,0.0218,0.024,-0.0376,-0.0026,1404.0
IMG_0089,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,332.054,65.507,0.6081,1.6452,234.84,0.9075,0.9452,-0.03,0.0131,0.0041,0.0103,1574.0
IMG_0090,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,219.134,74.925,0.2248,1.1105,173.046,0.7284,0.4204,0.0173,0.0013,0.0087,0.0158,386.0
IMG_0091,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,119.957,22.609,1.1263,1.7405,182.112,0.9795,1.0516,-0.0402,0.0455,0.0157,-0.0212,1501.0
IMG_0092,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,241.472,43.2,1.0364,1.5266,238.767,0.9368,0.985,0.0436,0.0243,-0.0087,0.0007,1594.0
IMG_0093,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,272.367,68.106,0.644,1.1336,235.378,0.9097,1.0918,0.0158,0.0416,0.0298,-0.0064,1529.0
IMG_0094,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,86.586,8.818,1.1209,1.4478,211.902,0.9028,0.9605,-0.0535,-0.0485,-0.0137,0.0201,1578.0
IMG_0095,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,Y 方向偏心并发生屏幕裁切,237.84,24.494,0.5199,1.0489,231.809,1.0603,1.2822,-0.0537,0.7599,-0.0175,0.0181,1613.0
IMG_0096,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,406.964,74.898,0.5154,0.8892,198.618,0.931,1.023,-0.0565,0.0372,-0.3556,0.2093,1548.0
IMG_0097,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,393.336,67.254,0.7211,1.4592,166.921,0.9513,0.9267,0.041,0.024,0.0108,-0.0025,1374.0
IMG_0098,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,178.823,31.772,0.9332,1.6763,216.352,0.9781,1.0606,-0.0185,0.0489,-0.0218,0.0036,1475.0
IMG_0099,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,115.104,13.418,0.4156,1.395,175.366,1.3905,1.6489,-0.0008,-0.0136,-0.0343,-0.0124,1887.0
IMG_0100,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,280.996,73.462,0.1864,0.717,150.929,1.0481,1.0246,-0.0322,-0.0378,0.0319,0.0067,1460.0
IMG_0101,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,46.672,10.91,0.7815,1.4741,233.363,0.9903,0.9097,0.0111,-0.0494,0.0343,-0.0235,1558.0
IMG_0102,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,414.531,67.151,0.4947,1.3575,150.95,0.9592,0.9801,0.0398,0.0528,0.0245,-0.006,1643.0
IMG_0103,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,65.861,7.443,0.5676,0.9049,238.736,1.7771,1.5711,-0.0061,0.0086,-0.0011,0.0195,1784.0
IMG_0104,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,76.233,15.699,0.2902,1.5761,211.681,1.0183,0.9341,-0.0386,0.0089,0.0326,0.0211,1540.0
IMG_0105,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,282.584,56.211,0.8441,1.4947,229.118,0.9038,1.0661,0.0339,0.0244,0.0356,-0.0249,1528.0
IMG_0106,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,55.858,17.93,0.4642,0.8239,180.999,0.4248,0.4813,0.0519,-0.0092,-0.0148,-0.0188,661.0
