id,image,mask,source_json,condition,split
IMG_0032,images/IMG_0032.jpg,masks/IMG_0032.png,IMG_0032.json,small_dim_loop,valid
IMG_0033,images/IMG_0033.jpg,masks/IMG_0033.png,IMG_0033.json,partial_frame,train
IMG_0034,images/IMG_0034.jpg,masks/IMG_0034.png,IMG_0034.json,scale_clipping,train
IMG_0035,images/IMG_0035.jpg,masks/IMG_0035.png,IMG_0035.json,small_dim_loop,train
IMG_0036,images/IMG_0036.jpg,masks/IMG_0036.png,IMG_0036.json,scale_clipping,valid
IMG_0037,images/IMG_0037.jpg,masks/IMG_0037.png,IMG_0037.json,partial_frame,train
IMG_0038,images/IMG_0038.jpg,masks/IMG_0038.png,IMG_0038.json,defocus_motion,train
IMG_0039,images/IMG_0039.jpg,masks/IMG_0039.png,IMG_0039.json,small_dim_loop,train
IMG_0040,images/IMG_0040.jpg,masks/IMG_0040.png,IMG_0040.json,underexposed,train
IMG_0041,images/IMG_0041.jpg,masks/IMG_0041.png,IMG_0041.json,partial_frame,valid
IMG_0042,images/IMG_0042.jpg,masks/IMG_0042.png,IMG_0042.json,NORMAL,train
IMG_0043,images/IMG_0043.jpg,masks/IMG_0043.png,IMG_0043.json,small_dim_loop,train
IMG_0044,images/IMG_0044.jpg,masks/IMG_0044.png,IMG_0044.json,overexposed,train
IMG_0045,images/IMG_0045.jpg,masks/IMG_0045.png,IMG_0045.json,NORMAL,train
IMG_0046,images/IMG_0046.jpg,masks/IMG_0046.png,IMG_0046.json,scale_clipping,train
IMG_0047,images/IMG_0047.jpg,masks/IMG_0047.png,IMG_0047.json,defocus_motion,train
IMG_0048,images/IMG_0048.jpg,masks/IMG_0048.png,IMG_0048.json,NORMAL,valid
IMG_0049,images/IMG_0049.jpg,masks/IMG_0049.png,IMG_0049.json,NORMAL,train
IMG_0050,images/IMG_0050.jpg,masks/IMG_0050.png,IMG_0050.json,small_dim_loop,train
IMG_0051,images/IMG_0051.jpg,masks/IMG_0051.png,IMG_0051.json,offset_outside,train
IMG_0052,images/IMG_0052.jpg,masks/IMG_0052.png,IMG_0052.json,small_dim_loop,train
IMG_0053,images/IMG_0053.jpg,masks/IMG_0053.png,IMG_0053.json,defocus_motion,train
IMG_0054,images/IMG_0054.jpg,masks/IMG_0054.png,IMG_0054.json,NORMAL,train
IMG_0055,images/IMG_0055.jpg,masks/IMG_0055.png,IMG_0055.json,partial_frame,valid
IMG_0056,images/IMG_0056.jpg,masks/IMG_0056.png,IMG_0056.json,tilt_asymmetry,train
IMG_0057,images/IMG_0057.jpg,masks/IMG_0057.png,IMG_0057.json,overexposed,train
IMG_0058,images/IMG_0058.jpg,masks/IMG_0058.png,IMG_0058.json,scale_clipping,train
IMG_0059,images/IMG_0059.jpg,masks/IMG_0059.png,IMG_0059.json,tilt_asymmetry,train
IMG_0060,images/IMG_0060.jpg,masks/IMG_0060.png,IMG_0060.json,tilt_asymmetry,train
IMG_0061,images/IMG_0061.jpg,masks/IMG_0061.png,IMG_0061.json,offset_outside,train
IMG_0062,images/IMG_0062.jpg,masks/IMG_0062.png,IMG_0062.json,NORMAL,train
IMG_0063,images/IMG_0063.jpg,masks/IMG_0063.png,IMG_0063.json,partial_frame,train
IMG_0064,images/IMG_0064.jpg,masks/IMG_0064.png,IMG_0064.json,tilt_asymmetry,train
IMG_0065,images/IMG_0065.jpg,masks/IMG_0065.png,IMG_0065.json,underexposed,train
IMG_0066,images/IMG_0066.jpg,masks/IMG_0066.png,IMG_0066.json,offset_outside,train
IMG_0067,images/IMG_0067.jpg,masks/IMG_0067.png,IMG_0067.json,small_dim_loop,train
IMG_0068,images/IMG_0068.jpg,masks/IMG_0068.png,IMG_0068.json,tilt_asymmetry,train
IMG_0069,images/IMG_0069.jpg,masks/IMG_0069.png,IMG_0069.json,underexposed,train
IMG_0070,images/IMG_0070.jpg,masks/IMG_0070.png,IMG_0070.json,scale_clipping,train
IMG_0071,images/IMG_0071.jpg,masks/IMG_0071.png,IMG_0071.json,NORMAL,train
IMG_0072,images/IMG_0072.jpg,masks/IMG_0072.png,IMG_0072.json,NORMAL,valid
IMG_0073,images/IMG_0073.jpg,masks/IMG_0073.png,IMG_0073.json,underexposed,train
IMG_0074,images/IMG_0074.jpg,masks/IMG_0074.png,IMG_0074.json,tilt_asymmetry,train
IMG_0075,images/IMG_0075.jpg,masks/IMG_0075.png,IMG_0075.json,NORMAL,train
IMG_0076,images/IMG_0076.jpg,masks/IMG_0076.png,IMG_0076.json,scale_clipping,valid
IMG_0077,images/IMG_0077.jpg,masks/IMG_0077.png,IMG_0077.json,small_dim_loop,train
IMG_0078,images/IMG_0078.jpg,masks/IMG_0078.png,IMG_0078.json,scale_clipping,train
IMG_0079,images/IMG_0079.jpg,masks/IMG_0079.png,IMG_0079.json,NORMAL,train
IMG_0080,images/IMG_0080.jpg,masks/IMG_0080.png,IMG_0080.json,scale_clipping,train
IMG_0081,images/IMG_0081.jpg,masks/IMG_0081.png,IMG_0081.json,tilt_asymmetry,train
IMG_0082,images/IMG_0082.jpg,masks/IMG_0082.png,IMG_0082.json,underexposed,train
IMG_0083,images/IMG_0083.jpg,masks/IMG_0083.png,IMG_0083.json,overexposed,train
IMG_0084,images/IMG_0084.jpg,masks/IMG_0084.png,IMG_0084.json,partial_frame,train
IMG_0085,images/IMG_0085.jpg,masks/IMG_0085.png,IMG_0085.json,NORMAL,train
IMG_0086,images/IMG_0086.jpg,masks/IMG_0086.png,IMG_0086.json,NORMAL,train
IMG_0087,images/IMG_0087.jpg,masks/IMG_0087.png,IMG_0087.json,NORMAL,train
IMG_0088,images/IMG_0088.jpg,masks/IMG_0088.png,IMG_0088.json,overexposed,valid
IMG_0089,images/IMG_0089.jpg,masks/IMG_0089.png,IMG_0089.json,defocus_motion,train
IMG_0090,images/IMG_0090.jpg,masks/IMG_0090.png,IMG_0090.json,small_dim_loop,train
IMG_0091,images/IMG_0091.jpg,masks/IMG_0091.png,IMG_0091.json,NORMAL,train
IMG_0092,images/IMG_0092.jpg,masks/IMG_0092.png,IMG_0092.json,NORMAL,train
IMG_0093,images/IMG_0093.jpg,masks/IMG_0093.png,IMG_0093.json,overexposed,train
IMG_0094,images/IMG_0094.jpg,masks/IMG_0094.png,IMG_0094.json,underexposed,valid
IMG_0095,images/IMG_0095.jpg,masks/IMG_0095.png,IMG_0095.json,offset_outside,valid
IMG_0096,images/IMG_0096.jpg,masks/IMG_0096.png,IMG_0096.json,tilt_asymmetry,valid
IMG_0097,images/IMG_0097.jpg,masks/IMG_0097.png,IMG_0097.json,defocus_motion,valid
IMG_0098,images/IMG_0098.jpg,masks/IMG_0098.png,IMG_0098.json,defocus_motion,train
IMG_0099,images/IMG_0099.jpg,masks/IMG_0099.png,IMG_0099.json,scale_clipping,train
IMG_0100,images/IMG_0100.jpg,masks/IMG_0100.png,IMG_0100.json,underexposed,train
IMG_0101,images/IMG_0101.jpg,masks/IMG_0101.png,IMG_0101.json,NORMAL,valid
IMG_0102,images/IMG_0102.jpg,masks/IMG_0102.png,IMG_0102.json,NORMAL,train
IMG_0103,images/IMG_0103.jpg,masks/IMG_0103.png,IMG_0103.json,scale_clipping,train
IMG_0104,images/IMG_0104.jpg,masks/IMG_0104.png,IMG_0104.json,NORMAL,train
IMG_0105,images/IMG_0105.jpg,masks/IMG_0105.png,IMG_0105.json,overexposed,train
IMG_0106,images/IMG_0106.jpg,masks/IMG_0106.png,IMG_0106.json,small_dim_loop,valid
IMG_0107,images/IMG_0107.jpg,masks/IMG_0107.png,IMG_0107.json,underexposed,train
IMG_0108,images/IMG_0108.jpg,masks/IMG_0108.png,IMG_0108.json,small_dim_loop,train
IMG_0109,images/IMG_0109.jpg,masks/IMG_0109.png,IMG_0109.json,tilt_asymmetry,valid
IMG_0110,images/IMG_0110.jpg,masks/IMG_0110.png,IMG_0110.json,small_dim_loop,train
IMG_0111,images/IMG_0111.jpg,masks/IMG_0111.png,IMG_0111.json,NORMAL,train
IMG_0112,images/IMG_0112.jpg,masks/IMG_0112.png,IMG_0112.json,underexposed,train
IMG_0113,images/IMG_0113.jpg,masks/IMG_0113.png,IMG_0113.json,tilt_asymmetry,train
IMG_0114,images/IMG_0114.jpg,masks/IMG_0114.png,IMG_0114.json,scale_clipping,valid
IMG_0115,images/IMG_0115.jpg,masks/IMG_0115.png,IMG_0115.json,NORMAL,train
IMG_0116,images/IMG_0116.jpg,masks/IMG_0116.png,IMG_0116.json,small_dim_loop,train
IMG_0117,images/IMG_0117.jpg,masks/IMG_0117.png,IMG_0117.json,NORMAL,train
IMG_0118,images/IMG_0118.jpg,masks/IMG_0118.png,IMG_0118.json,NORMAL,train
IMG_0119,images/IMG_0119.jpg,masks/IMG_0119.png,IMG_0119.json,NORMAL,train
IMG_0120,images/IMG_0120.jpg,masks/IMG_0120.png,IMG_0120.json,scale_clipping,train
IMG_0121,images/IMG_0121.jpg,masks/IMG_0121.png,IMG_0121.json,offset_outside,train
IMG_0122,images/IMG_0122.jpg,masks/IMG_0122.png,IMG_0122.json,tilt_asymmetry,train
IMG_0123,images/IMG_0123.jpg,masks/IMG_0123.png,IMG_0123.json,underexposed,train
IMG_0124,images/IMG_0124.jpg,masks/IMG_0124.png,IMG_0124.json,partial_frame,train
IMG_0125,images/IMG_0125.jpg,masks/IMG_0125.png,IMG_0125.json,partial_frame,train
IMG_0126,images/IMG_0126.jpg,masks/IMG_0126.png,IMG_0126.json,underexposed,valid
IMG_0127,images/IMG_0127.jpg,masks/IMG_0127.png,IMG_0127.json,scale_clipping,train
IMG_0128,images/IMG_0128.jpg,masks/IMG_0128.png,IMG_0128.json,NORMAL,train
IMG_0129,images/IMG_0129.jpg,masks/IMG_0129.png,IMG_0129.json,scale_clipping,train
IMG_0130,images/IMG_0130.jpg,masks/IMG_0130.png,IMG_0130.json,partial_frame,train
IMG_0131,images/IMG_0131.jpg,masks/IMG_0131.png,IMG_0131.json,small_dim_loop,train
IMG_0132,images/IMG_0132.jpg,masks/IMG_0132.png,IMG_0132.json,overexposed,valid
IMG_0133,images/IMG_0133.jpg,masks/IMG_0133.png,IMG_0133.json,offset_outside,train
IMG_0134,images/IMG_0134.jpg,masks/IMG_0134.png,IMG_0134.json,tilt_asymmetry,train
IMG_0135,images/IMG_0135.jpg,masks/IMG_0135.png,IMG_0135.json,small_dim_loop,train
IMG_0136,images/IMG_0136.jpg,masks/IMG_0136.png,IMG_0136.json,underexposed,train
