sample_id,DATASET_SPLIT,QUALITY_CLASS,DEFECT_TYPE,CAPTURE_INSTRUCTION,EXPECTED_EFFECT,HMAX,HC,BR,BS,LOOP_HZ,X_GAIN,Y_GAIN,X_OFFSET,Y_OFFSET,XY_COUPLING,ASYMMETRY,AMPLITUDE,hc_negative_div,hc_positive_div,br_positive_div,br_negative_div,h_bias_div,br_bias_div,hc_half_span_div,br_half_span_div,h_extreme_positive_div,b_extreme_positive_div,h_extreme_negative_div,b_extreme_negative_div,grid_origin_x_px,grid_origin_y_px,x_pixels_per_div,y_pixels_per_div,mask,roi_xyxy_source,threshold,predicted_pixels,mean_probability,max_probability
IMG_0011,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,181.312,69.673,0.3283,0.7628,167.632,0.4625,0.6181,0.0424,0.0215,-0.0257,0.0101,280.0,0.343038,0.772152,,,0.557595,,0.214557,,0.696203,-0.113924,0.556962,0.35443,272.0,308.0,79.0,79.0,masks_640x600/IMG_0011.png,"2059,404,3800,2054",0.5,1295,0.0034,0.995339
IMG_0012,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,314.775,32.423,1.2637,1.471,166.511,0.9404,1.048,-0.0038,-0.0401,0.0155,0.0182,1582.0,0.291139,0.835443,-1.907595,-2.43038,0.563291,-2.168987,0.272152,0.261392,0.493671,-2.417722,0.683544,2.607595,272.0,308.0,79.0,79.0,masks_640x600/IMG_0012.png,"2059,404,3800,2054",0.5,9819,0.025831,0.999617
IMG_0013,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,325.003,53.135,0.5218,1.0021,165.477,1.0113,0.9829,-0.0085,0.0549,0.025,0.0131,1384.0,0.1,0.887342,-0.126582,-1.721519,0.493671,-0.924051,0.393671,0.797468,0.164557,-1.632911,1.063291,2.202532,272.0,308.0,79.0,79.0,masks_640x600/IMG_0013.png,"2059,404,3800,2054",0.5,8805,0.023205,0.999737
IMG_0014,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,159.6,19.274,0.9904,1.6651,153.952,0.6686,0.6036,-0.0103,-0.0118,-0.0007,0.0092,390.0,0.443038,0.658228,-0.251899,-0.317722,0.550633,-0.28481,0.107595,0.032911,0.556962,-0.265823,0.620253,0.544304,272.0,308.0,79.0,79.0,masks_640x600/IMG_0014.png,"2059,404,3800,2054",0.5,2131,0.005519,0.995604
IMG_0015,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,395.291,61.795,0.5714,0.964,221.286,1.0567,1.0904,-0.0089,0.0516,0.0198,0.0151,1444.0,0.101266,0.924051,-0.151899,-2.075949,0.512658,-1.113924,0.411392,0.962025,0.21519,-1.962025,0.898734,2.43038,272.0,308.0,79.0,79.0,masks_640x600/IMG_0015.png,"2059,404,3800,2054",0.5,9409,0.024814,0.999691
IMG_0016,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,290.301,41.992,1.2199,1.7168,214.283,1.0143,1.035,0.0217,-0.0022,0.0053,0.0021,1588.0,0.202532,1.012658,-0.78481,-2.405063,0.607595,-1.594937,0.405063,0.810127,0.367089,-2.291139,0.898734,2.531646,272.0,308.0,79.0,79.0,masks_640x600/IMG_0016.png,"2059,404,3800,2054",0.5,9981,0.026367,0.999714
IMG_0017,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,407.875,52.788,0.4298,0.7454,164.91,1.028,0.9924,-0.0517,0.0009,0.0078,0.0186,1388.0,0.139241,0.797468,-0.35443,-1.924051,0.468354,-1.139241,0.329114,0.78481,0.189873,-1.835443,0.886076,2.189873,272.0,308.0,79.0,79.0,masks_640x600/IMG_0017.png,"2059,404,3800,2054",0.5,9148,0.024112,0.999675
IMG_0018,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,401.297,63.976,0.5603,1.1854,194.105,1.0437,1.0802,-0.054,0.0113,0.2277,0.1851,1410.0,0.050633,0.810127,0.025316,-1.607595,0.43038,-0.791139,0.379747,0.816456,0.012658,-1.64557,0.797468,2.35443,272.0,308.0,79.0,79.0,masks_640x600/IMG_0018.png,"2059,404,3800,2054",0.5,8972,0.023568,0.999703
IMG_0019,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,399.811,70.996,0.5907,0.7851,231.764,1.0667,1.0149,-0.0376,0.0248,-0.4389,-0.1458,1387.0,-0.037975,0.959494,0.367089,-2.113924,0.460759,-0.873418,0.498734,1.240506,0.367089,-2.037975,0.582278,1.746835,272.0,308.0,79.0,79.0,masks_640x600/IMG_0019.png,"2059,404,3800,2054",0.5,9068,0.023845,0.999705
IMG_0020,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,235.721,23.595,0.2921,1.0743,213.421,1.092,0.9911,-0.0252,-0.0365,-0.0291,-0.0248,1440.0,0.227848,0.822785,-0.443038,-1.64557,0.525316,-1.044304,0.297468,0.601266,-0.037975,-1.708861,1.253165,1.810127,272.0,308.0,79.0,79.0,masks_640x600/IMG_0020.png,"2059,404,3800,2054",0.5,9322,0.024497,0.999685
IMG_0021,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,127.157,28.822,0.3205,1.2174,152.333,1.0701,0.952,0.0066,0.0557,-0.0127,-0.0008,1615.0,-0.341772,1.075949,0.341772,-0.987342,0.367089,-0.322785,0.708861,0.664557,3.164557,1.835443,-1.987342,-1.35443,272.0,308.0,79.0,79.0,masks_640x600/IMG_0021.png,"2059,404,3800,2054",0.5,10224,0.026883,0.999701
IMG_0022,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,84.534,21.72,0.2898,1.5219,186.966,1.8266,1.4015,0.035,-0.0178,-0.0363,-0.025,1877.0,-0.987342,2.164557,0.493671,-1.177215,0.588608,-0.341772,1.575949,0.835443,3.531646,0.797468,-2.455696,-0.810127,272.0,308.0,79.0,79.0,masks_640x600/IMG_0022.png,"2059,404,3800,2054",0.5,12628,0.033298,0.999531
IMG_0023,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,328.75,33.222,0.4209,0.7396,216.725,0.3962,0.4634,0.0561,0.0425,-0.0252,-0.0136,619.0,0.531646,0.734177,,,0.632911,,0.101266,,0.64557,-0.316456,0.696203,0.632911,272.0,308.0,79.0,79.0,masks_640x600/IMG_0023.png,"2059,404,3800,2054",0.5,2188,0.005701,0.995263
IMG_0024,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,65.241,15.48,0.6058,0.9743,191.878,0.9518,1.0042,0.0089,-0.0184,0.0184,0.0027,1490.0,0.025316,1.164557,0.101266,-2.113924,0.594937,-1.006329,0.56962,1.107595,0.303797,-1.936709,0.974684,2.113924,272.0,308.0,79.0,79.0,masks_640x600/IMG_0024.png,"2059,404,3800,2054",0.5,9965,0.026224,0.999711
IMG_0025,defect,瑕疵,tilt_asymmetry,正常拍摄，保留固件产生的倾斜与上下支不对称,回线明显倾斜、上下分支不对称,269.93,47.098,0.617,1.2532,158.431,1.0071,1.0656,-0.0364,-0.0421,0.4168,-0.1214,1493.0,0.101266,0.911392,-0.126582,-2.278481,0.506329,-1.202532,0.405063,1.075949,0.189873,-2.265823,1.253165,2.367089,272.0,308.0,79.0,79.0,masks_640x600/IMG_0025.png,"2059,404,3800,2054",0.5,9707,0.025545,0.999617
IMG_0026,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,202.614,26.493,1.3001,1.7036,176.65,1.4147,1.5322,0.0392,0.053,0.0315,0.0136,1721.0,0.139241,1.227848,-0.544304,-2.349367,0.683544,-1.446835,0.544304,0.902532,0.759494,-2.64557,0.582278,2.886076,272.0,308.0,79.0,79.0,masks_640x600/IMG_0026.png,"2059,404,3800,2054",0.5,11355,0.029857,0.999355
IMG_0027,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,231.937,44.297,1.3465,1.581,232.307,1.0936,0.9931,0.0426,0.0542,0.0358,-0.0223,1624.0,0.088608,1.240506,-0.139241,-2.367089,0.664557,-1.253165,0.575949,1.113924,0.64557,-2.113924,0.873418,2.620253,272.0,308.0,79.0,79.0,masks_640x600/IMG_0027.png,"2059,404,3800,2054",0.5,11375,0.029812,0.999716
IMG_0028,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,409.269,68.816,0.5782,0.7477,234.109,0.9061,0.9226,-0.0056,0.0172,-0.0193,-0.0169,1371.0,0.189873,0.924051,-0.64557,-1.886076,0.556962,-1.265823,0.367089,0.620253,0.481013,-1.696203,0.797468,2.037975,272.0,308.0,79.0,79.0,masks_640x600/IMG_0028.png,"2059,404,3800,2054",0.5,8687,0.022822,0.999667
IMG_0029,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,48.35,15.709,0.7426,1.1322,225.34,1.098,1.0863,-0.0567,0.0269,-0.0196,-0.0126,1636.0,-0.607595,1.353165,1.392405,-2.189873,0.372785,-0.398734,0.98038,1.791139,0.202532,-2.037975,0.64557,2.291139,272.0,308.0,79.0,79.0,masks_640x600/IMG_0029.png,"2059,404,3800,2054",0.5,11307,0.029835,0.999741
IMG_0030,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,134.819,21.816,1.0227,1.3517,168.956,1.0742,1.0378,-0.0194,0.0119,0.0167,-0.024,1628.0,0.037975,1.0,0.139241,-2.468354,0.518987,-1.164557,0.481013,1.303797,0.329114,-2.367089,0.810127,2.582278,272.0,308.0,79.0,79.0,masks_640x600/IMG_0030.png,"2059,404,3800,2054",0.5,10519,0.027716,0.999724
IMG_0031,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,245.126,58.898,0.3422,0.9365,231.936,0.9285,1.0181,-0.0084,-0.0339,0.0146,0.021,1381.0,0.025316,1.101266,0.012658,-1.518987,0.563291,-0.753165,0.537975,0.765823,0.088608,-1.455696,1.189873,1.683544,272.0,308.0,79.0,79.0,masks_640x600/IMG_0031.png,"2059,404,3800,2054",0.5,8919,0.023499,0.999696
IMG_0032,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,289.722,74.005,1.1035,1.2707,236.437,0.4981,0.721,-0.0151,-0.0216,-0.0028,0.0226,499.0,0.455696,0.746835,,,0.601266,,0.14557,,0.620253,-0.468354,0.620253,0.696203,272.0,308.0,79.0,79.0,masks_640x600/IMG_0032.png,"2059,404,3800,2054",0.5,2638,0.006859,0.996267
IMG_0033,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,270.969,34.308,0.3857,1.1147,189.907,0.9829,1.0055,0.0583,0.0537,0.0184,0.0222,1584.0,0.316456,1.012658,-0.734177,-1.873418,0.664557,-1.303797,0.348101,0.56962,0.101266,-1.810127,1.481013,2.455696,272.0,308.0,79.0,79.0,masks_640x600/IMG_0033.png,"2059,404,3800,2054",0.5,9831,0.025906,0.999683
IMG_0034,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,313.643,58.8,0.5308,1.1073,206.893,1.4739,1.4169,-0.0075,-0.017,0.0134,-0.0222,1727.0,-0.240506,1.341772,0.734177,-2.64557,0.550633,-0.955696,0.791139,1.689873,0.164557,-2.620253,1.189873,2.873418,272.0,308.0,79.0,79.0,masks_640x600/IMG_0034.png,"2059,404,3800,2054",0.5,11447,0.030257,0.999779
IMG_0035,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,330.748,65.801,0.4016,0.7513,194.173,0.7072,0.4632,0.0367,-0.0337,0.0183,0.0183,497.0,0.189873,0.658228,-0.088608,-0.240506,0.424051,-0.164557,0.234177,0.075949,0.670886,-0.037975,0.658228,0.582278,272.0,308.0,79.0,79.0,masks_640x600/IMG_0035.png,"2059,404,3800,2054",0.5,2515,0.006511,0.99615
IMG_0036,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,160.169,18.392,0.7406,1.638,235.489,1.87,1.7052,-0.0526,0.0401,-0.0083,0.0003,1735.0,-0.291139,0.974684,1.265823,-2.506329,0.341772,-0.620253,0.632911,1.886076,0.189873,-2.481013,0.632911,3.037975,272.0,308.0,79.0,79.0,masks_640x600/IMG_0036.png,"2059,404,3800,2054",0.5,11373,0.029976,0.99966
IMG_0037,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,122.723,44.947,0.7088,1.4261,235.726,0.9974,1.0939,0.0231,0.0254,-0.0356,-0.0048,1523.0,-0.518987,1.392405,0.848101,-1.658228,0.436709,-0.405063,0.955696,1.253165,0.506329,-1.227848,0.911392,1.974684,272.0,308.0,79.0,79.0,masks_640x600/IMG_0037.png,"2059,404,3800,2054",0.5,10277,0.027113,0.999748
IMG_0038,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,157.16,37.165,0.998,1.7208,178.924,0.9418,1.0719,-0.0295,0.0545,0.0379,0.0131,1493.0,-0.126582,1.0,0.537975,-1.936709,0.436709,-0.699367,0.563291,1.237342,0.177215,-1.810127,0.936709,2.455696,272.0,308.0,79.0,79.0,masks_640x600/IMG_0038.png,"2059,404,3800,2054",0.5,9436,0.024944,0.999751
IMG_0039,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,297.616,33.332,0.9072,1.6608,239.933,0.5617,0.4757,-0.0524,0.0472,0.013,-0.0198,493.0,0.375949,0.632911,-0.172152,-0.308861,0.50443,-0.240506,0.128481,0.068354,0.56962,-0.227848,0.594937,0.544304,272.0,308.0,79.0,79.0,masks_640x600/IMG_0039.png,"2059,404,3800,2054",0.5,2249,0.005839,0.995493
IMG_0040,defect,瑕疵,underexposed,降低相机曝光或示波器亮度，使轨迹明显偏暗但仍留有部分可见点,轨迹暗淡、断续、信噪比下降,170.267,61.556,0.48,0.8589,220.781,0.9741,0.9891,0.029,0.0212,0.0182,-0.0014,1405.0,-0.265823,1.405063,0.506329,-1.696203,0.56962,-0.594937,0.835443,1.101266,0.43038,-1.392405,0.949367,1.759494,272.0,308.0,79.0,79.0,masks_640x600/IMG_0040.png,"2059,404,3800,2054",0.5,9457,0.024945,0.999725
IMG_0041,defect,瑕疵,partial_frame,移动或缩放相机，让屏幕边缘或磁滞回线被裁掉约 15%–45%,拍摄不完整、部分回线位于画面外,279.692,55.732,1.0027,1.6755,166.563,0.9258,1.0408,-0.0551,0.0512,-0.0389,0.0223,1620.0,-0.126582,0.898734,0.7,-2.012658,0.386076,-0.656329,0.512658,1.356329,0.037975,-2.037975,0.924051,2.683544,272.0,308.0,79.0,79.0,masks_640x600/IMG_0041.png,"2059,404,3800,2054",0.5,10216,0.026887,0.999703
IMG_0042,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,259.039,37.337,0.7463,1.49,190.851,0.9061,0.9708,0.0408,0.0062,-0.0343,-0.0152,1484.0,0.316456,1.012658,-0.911392,-2.050633,0.664557,-1.481013,0.348101,0.56962,0.278481,-1.911392,1.113924,2.101266,272.0,308.0,79.0,79.0,masks_640x600/IMG_0042.png,"2059,404,3800,2054",0.5,9227,0.024281,0.999689
IMG_0043,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,224.101,39.278,0.2372,1.1506,193.451,0.512,0.4004,-0.0381,-0.0556,-0.0157,-0.0028,657.0,0.265823,0.731646,-0.162025,-0.35443,0.498734,-0.258228,0.232911,0.096203,1.101266,0.265823,0.025316,-0.151899,272.0,308.0,79.0,79.0,masks_640x600/IMG_0043.png,"2059,404,3800,2054",0.5,2491,0.006431,0.995871
IMG_0044,defect,瑕疵,overexposed,提高相机曝光或示波器亮度，使高亮轨迹局部饱和但仍可辨认,轨迹膨胀、局部纯白、细节丢失,71.76,11.585,0.5043,0.7533,207.563,1.062,0.9212,0.035,0.0059,0.0277,0.0158,1649.0,0.189873,1.151899,-0.518987,-2.189873,0.670886,-1.35443,0.481013,0.835443,0.367089,-2.037975,0.974684,2.291139,272.0,308.0,79.0,79.0,masks_640x600/IMG_0044.png,"2059,404,3800,2054",0.5,10853,0.028508,0.999731
IMG_0045,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,407.136,66.648,0.4491,1.7021,193.904,0.9882,0.9546,-0.0059,-0.0557,0.0024,-0.0158,1588.0,0.139241,1.063291,-0.177215,-1.493671,0.601266,-0.835443,0.462025,0.658228,-0.050633,-1.556962,1.240506,1.468354,272.0,308.0,79.0,79.0,masks_640x600/IMG_0045.png,"2059,404,3800,2054",0.5,9880,0.026066,0.99972
IMG_0046,defect,瑕疵,scale_clipping,保持正常曝光和构图；不调整示波器档位,幅度过大，回线顶部/底部或左右边缘被截断,375.36,73.684,0.939,1.2474,202.668,1.4497,1.7268,0.0247,0.0074,-0.0381,0.0018,1818.0,-0.21519,1.506329,1.481013,-2.746835,0.64557,-0.632911,0.860759,2.113924,0.924051,-2.759494,0.43038,3.037975,272.0,308.0,79.0,79.0,masks_640x600/IMG_0046.png,"2059,404,3800,2054",0.5,12117,0.03208,0.99949
IMG_0047,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,49.774,8.097,0.8641,1.3207,239.004,0.9804,0.9998,-0.0106,0.0188,-0.0285,0.0173,1523.0,0.113924,0.962025,-0.253165,-2.088608,0.537975,-1.170886,0.424051,0.917722,0.329114,-1.911392,0.873418,2.367089,272.0,308.0,79.0,79.0,masks_640x600/IMG_0047.png,"2059,404,3800,2054",0.5,9893,0.026047,0.99972
IMG_0048,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,107.06,24.587,0.4449,0.9807,188.578,1.0237,1.0691,-0.0276,-0.0036,-0.011,0.0,1388.0,-0.075949,1.055696,0.251899,-1.708861,0.489873,-0.728481,0.565823,0.98038,0.088608,-1.658228,1.0,1.873418,272.0,308.0,79.0,79.0,masks_640x600/IMG_0048.png,"2059,404,3800,2054",0.5,9253,0.024431,0.999723
IMG_0049,normal,正常,NORMAL,正常曝光；完整包含示波器屏幕；对焦清晰；相机正对屏幕,完整、亮度适中、位置居中的磁滞回线,412.92,58.055,0.6614,1.1679,181.294,1.0954,0.9941,0.0032,-0.0305,0.0094,-0.0172,1602.0,0.177215,1.025316,-0.443038,-2.341772,0.601266,-1.392405,0.424051,0.949367,0.265823,-2.164557,1.088608,2.291139,272.0,308.0,79.0,79.0,masks_640x600/IMG_0049.png,"2059,404,3800,2054",0.5,10362,0.027219,0.999737
IMG_0050,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,206.134,50.944,0.5191,1.5099,197.745,0.5955,0.6921,0.0215,-0.0349,0.0125,-0.0128,340.0,0.372152,0.759494,,,0.565823,,0.193671,,0.670886,-0.151899,0.607595,0.379747,272.0,308.0,79.0,79.0,masks_640x600/IMG_0050.png,"2059,404,3800,2054",0.5,1900,0.004956,0.995137
IMG_0051,defect,瑕疵,offset_outside,保持正常拍摄；由固件偏置/增益使回线部分超出示波器显示范围,X 方向偏心并发生屏幕裁切,290.057,63.797,0.5731,0.8589,164.247,1.3625,1.1478,-0.6073,0.0152,-0.0024,0.0111,1635.0,-1.878481,-0.227848,2.721519,0.512658,-1.053165,1.617089,0.825316,1.10443,-1.316456,-2.291139,-0.632911,2.708861,272.0,308.0,79.0,79.0,masks_640x600/IMG_0051.png,"2059,404,3800,2054",0.5,10251,0.027013,0.999753
IMG_0052,defect,瑕疵,small_dim_loop,保持常规相机曝光和示波器档位，不放大画面,回线过小、偏暗、有效像素少,201.775,31.902,0.4574,1.6411,213.465,0.445,0.5399,-0.0148,-0.0221,-0.0229,0.0096,385.0,0.392405,0.734177,,,0.563291,,0.170886,,0.64557,-0.151899,0.56962,0.35443,272.0,308.0,79.0,79.0,masks_640x600/IMG_0052.png,"2059,404,3800,2054",0.5,1581,0.004083,0.995026
IMG_0053,defect,瑕疵,defocus_motion,轻微失焦或手持轻微运动拍摄，保留可识别的整体形状,轨迹模糊、拖影或重影,225.538,58.503,0.7451,1.4064,156.693,0.9255,1.0905,0.019,0.0335,0.0239,-0.0179,1379.0,0.012658,1.126582,0.101266,-1.936709,0.56962,-0.917722,0.556962,1.018987,0.265823,-1.734177,1.151899,2.177215,272.0,308.0,79.0,79.0,masks_640x600/IMG_0053.png,"2059,404,3800,2054",0.5,8839,0.023279,0.999757
